id,group,group_name,name,dur_min,dur_max,dur_avg,glyph,visual,caption,purpose,materials,intro,close,tags
introduce,1,Getting There,Introduce Yourself to the Forest,10,20,15,letter,introduce,"A name spelled out in sticks, leaves and stones",Build a personal connection with the forest. Find a place of your own.,None — the forest provides.,"""Walk around and find a spot that speaks to you. Spell out your name there using natural materials — as big, small, simple or ornate as you feel today. A nickname or initial is fine.""",Signal the group back to a meeting point. Invite anyone who wants to share.,First session; Individual; Anxiety
soundscape,1,Getting There,The Soundscape Map,10,15,12,ear,soundscape,Sound sources marked radiating from the listener's position,Engage the senses on arrival.,"Paper, pencil, clipboard per person.","""Find your own spot. Sit still for five minutes. Mark where you are, then mark where sounds come from and how they feel. Share anything you want when we come back.""",Bring the group together. Invite sharing. Ask: did you hear anything unexpected?,First session; Groups; Anxiety
naming,1,Getting There,Naming the Forest,5,10,7,leaf,naming,Forest elements identified and named along the path,Names reduce anxiety. Familiarity builds confidence.,"Nothing, or a laminated sheet of local species.","""As we walk I'll point a few things out. You don't need to remember any of it. Everything here has a name.""",No formal close. Dissolves into the walk.,First session; Anxiety
hammock,1,Getting There,The Hammock,30,60,45,hammock,hammock,A person resting in a hammock between two trees,Settle into the woodland.,One or more hammocks hung between trees.,"""There's a hammock over there. Go and lie in it if you want. You don't have to do or say anything. Just notice what it's like. We'll check in every half hour.""",No structured close. Let young people leave when ready. Have the next activity quietly ready.,Individual; Anxiety; Trauma-informed
barefoot,2,Waking Up Your Senses,Barefoot Trail,10,15,12,foot,barefoot,Five distinct textures along a barefoot path,Engages touch and proprioception. Grounds ruminative or anxious thinking.,"A short varied path of grass, soil, bark, moss, stone.","""If you're comfortable, take off your shoes. We're going to walk this bit very slowly. Just notice what you feel through your feet.""",Pause the group. Ask: what was the most interesting texture? What surprised you?,Groups; Anxiety; Somatic work
palette,2,Waking Up Your Senses,Colour Palette Walk,15,20,17,swatch,palette,A colour palette card with forest elements matched to each swatch,Focused looking without needing words.,Laminated colour palette or paint chips per person.,"""As we walk, try to find something in the forest that matches each colour. You don't need to pick anything up, just find it.""",Gather the group. Who found a surprising match? Seasonal variation: make a palette from fallen leaves.,Groups; Children; Creative work
senses,2,Waking Up Your Senses,Five Senses Inventory,5,10,7,hand,senses,5-4-3-2-1 grounding sequence,"Structured grounding (5-4-3-2-1). Produces quiet, focused attention.","Nothing, or a small prompt card.","""Stand still. Find five things you can see. Four you can hear. Three you can feel. Two you can smell. One you can taste or imagine tasting. Take your time.""",No formal close. Can be used as a reset at any point.,Anxiety; Trauma-informed; Somatic work
tinyworld,2,Waking Up Your Senses,Build a Tiny World,45,60,52,tinyworld,tinyworld,"Mud, sticks and leaves built into an imagined world","Hands-on play, creativity and group immersion. Encourages touch, imagination and collaborative making.","Natural materials on site: mud, soil, leaves, sticks, stones, bark, moss, water.","""We're going to create an imaginary world using only what we can find. The theme is Build A Tiny World. Work in small groups for about an hour. There's no right or wrong way.""",Signal the end a few minutes early. Invite groups to walk through each other's worlds. Return materials to the ground. Invite reflections.,Groups; Children; Creative work
sofa,3,Discovering Yourself,Building the Forest Sofa,30,45,37,log,sofa,A collaborative seating circle built from logs and branches,Create a shared space owned by the group. A gathering point for the rest of the programme.,Fallen branches and logs. No tools needed.,"""We're going to make somewhere to sit that fits all of us. See what you can find — branches, logs, anything on the ground — and bring it back here.""",Sit in it together. Mark the moment. Return to it in future sessions.,Groups; Connection building; Relational work
fire,3,Discovering Yourself,Fire Lighting,45,60,52,flame,fire,Tinder · kindling · structure · flame,"Shared goal, skill transfer, visible outcome.","Site permission, safety clearance, competent practitioner. Fire steel or matches, tinder, kindling, fuel wood, fire circle, water nearby.","""We're going to light a fire. I'll show you how to set it up, then anyone who wants to can try. It usually takes a few goes — it can be tricky!""",Formal close required. Extinguish fully together. Every participant should see this. Leave the site as found.,Groups; Adolescents; Connection building
